 Consec, Region, SampleID,Ca_input (mg/L),Mg_input (mg/L),Na_input (mg/L),K_input (mg/L),SO4_input (mg/L),Cl_input (mg/L),HCO3_input (mg/L),CO3_input (mg/L)," Data in mEq/L  
 start here",Ca mEq/L,Mg mEq/L,Na mEq/L,K mEq/L,SO4 mEq/L,Cl mEq/L,HCO3 mEq/L,CO3 mEq/L," Data in mMol/L 
 start here",Ca mMol/L,Mg mMol/L,Na mMol/L,K mMol/L,SO4 mMol/L,Cl mMol/L,HCO3 mMol/L,CO3 mMol/L,CationC,AnionC,FinalC,"hlr transformations  
 start here",hlr2,hlr3,hlr4,hlr5,hlr6,hlr7,hlr8,"7 hlr model for cations 
 start here",hDF1_Ca-Mg-Na,hDF2_Ca-Mg-Na,hp_Ca,hp_Mg,hp_Na,------,hDF1_Ca-Mg-K,hDF2_Ca-Mg-K,hp_Ca,hp_Mg,hp_K,------,hDF1_Ca-Na-K,hDF2_Ca-Na-K,hp_Ca,hp_Na,hp_K,------,hDF1_Mg-Na-K,hDF2_Mg-Na-K,hp_Mg,hp_Na,hp_K,"7 hlr model for anions 
 start here",hDF1_SO4-Cl-HCO3,hDF2_SO4-Cl-HCO3,hp_SO4,hp_Cl,hp_HCO3,------,hDF1_SO4-Cl-CO3,hDF2_SO4-Cl-CO3,hp_SO4,hp_Cl,hp_CO3,------,hDF1_SO4-HCO3-CO3,hDF2_SO4-HCO3-CO3,hp_SO4,hp_HCO3,hp_CO3,------,hDF1_Cl-HCO3-CO3,hDF2_Cl-HCO3-CO3,hp_Cl,hp_HCO3,hp_CO3,"Sum of cation probabilities 
 of 7 hlr model  start here",hp_Ca,hp_Mg,hp_Na,hp_K,CationP,CationPH,"Sum of anion probabilities 
 of 7 hlr model  start here",hp_SO4,hp_Cl,hp_HCO3,hp_CO3,AnionP,AnionPH,FinalP,FinalPH,-----,Ionic imbalance %,Acceptability
11,Nirmal Province,NT-16,66,21,95,2,17.5,266,49,18, ,3.293577524,1.728039498,4.132272875,0.051153119,0.364370784,7.503526093,0.803068048,0.599920011, ,1.646788762,0.864019749,4.132272875,0.051153119,0.182185392,7.503526093,0.803068048,0.299960005,sodium,chloride,sodium-chloride, ,-0.142867355,-1.707854596,2.6839048,1.413703467,-2.304400063,-0.069711181,0.915079121,,1.347086166,1.047539174,0.124778219,0.033991458,0.841230323,,-0.395997492,-3.32893997,0.765368973,0.232555183,0.002075843,,-3.234475649,-2.993285981,0.143654293,0.856018944,0.000326763,,-2.286187365,-3.592221644,0.052744594,0.946891431,0.000363975,,2.825082434,-2.187283222,0.001221772,0.981431409,0.017346819,,1.457029221,3.517767604,0.001277132,0.995240037,0.003482831,,0.67383731,-1.173586193,0.060936635,0.77328147,0.165781896,,1.098776095,2.967412238,0.978818085,0.017982028,0.003199887,,0.258450371,0.079822809,0.661035175,0.000691645,sodium,sodium-calcium,,0.015858885,0.738872383,0.202152579,0.043116153,chloride,chloride,sodium-chloride,sodium-calcium chloride,,0.356365966,excellent
12,Nirmal Province,NT-17,32,1,46,2,7.5,89,61,15, ,1.596886072,0.082287595,2.000890024,0.051153119,0.156158907,2.510578279,0.999737774,0.499933342, ,0.798443036,0.041143798,2.000890024,0.051153119,0.078079454,2.510578279,0.999737774,0.249966671,sodium,chloride,sodium-chloride, ,2.101767263,-1.782506921,1.88401698,1.461113507,-2.009427944,-1.088652567,0.297512858,,1.745840468,3.609125879,0.221530211,0.00064433,0.777825458,,2.471596147,-2.434322313,0.992999298,0.002779583,0.00422112,,-2.903760753,-2.464568119,0.223545347,0.775505822,0.000948831,,0.537289811,-4.172185871,0.000978389,0.997742091,0.00127952,,3.614707078,-0.919978631,0.000947666,0.841742596,0.157309738,,2.030351412,3.045906357,0.001090805,0.98813458,0.010774615,,1.219387947,-2.40072779,0.005878489,0.939371217,0.054750294,,1.680960822,1.860486286,0.836445732,0.155403912,0.008150356,,0.359518714,0.001100576,0.637768343,0.001612368,sodium,sodium-calcium,,0.00197924,0.666580727,0.313021217,0.018418816,chloride,chloride-bicarbonate,sodium-chloride,sodium-calcium chloride-bicarbonate,,5.510409599,acceptable
13,Nirmal Province,NT-18,10,2,119,2,2.5,64,110,15, ,0.499026898,0.16457519,5.176215496,0.051153119,0.052052969,1.805359661,1.802805821,0.499933342, ,0.249513449,0.082287595,5.176215496,0.051153119,0.026026485,1.805359661,1.802805821,0.249966671,sodium,chloride,sodium-chloride, ,1.363835007,-2.777774093,1.839231904,2.51494072,-1.724459734,-1.723044144,0.252727782,,3.627134622,2.140918987,0.00414368,0.00042385,0.99543247,,0.773391276,-1.450131973,0.861983465,0.09280505,0.045211485,,-1.61487968,-4.249539989,0.004595182,0.995176258,0.00022856,,0.031976177,-4.938440921,0.000542631,0.999220983,0.000236386,,4.913473533,-0.027399209,0.00015662,0.502935577,0.496907803,,3.158208194,2.879461154,0.000291357,0.974673902,0.02503474,,1.477161271,-3.993420732,0.00031818,0.975214547,0.024467273,,2.096006896,1.065540353,0.500569262,0.488710234,0.010720504,,0.217680582,0.023442883,0.747457428,0.011419108,sodium,sodium,,0.000191539,0.494544685,0.490208146,0.015055629,chloride,chloride-bicarbonate,sodium-chloride,sodium chloride-bicarbonate,,17.22015535,imbalance too high
14,Nirmal Province,NT-19,66,25,82,3,25,227,61,15, ,3.293577524,2.057189879,3.566803955,0.076729679,0.520529691,6.403385049,0.999737774,0.499933342, ,1.646788762,1.028594939,3.566803955,0.076729679,0.260264846,6.403385049,0.999737774,0.249966671,sodium,chloride,sodium-chloride, ,-0.233780553,-1.477256762,2.361879881,1.140468712,-2.062413583,-0.205324557,1.180840867,,1.157919934,0.81637191,0.147296808,0.056381008,0.796322184,,-0.457733184,-2.921177345,0.696407663,0.299496169,0.004096168,,-2.815664707,-2.620294454,0.170478849,0.82866477,0.00085638,,-2.091812038,-3.096442056,0.086443891,0.912611181,0.000944927,,2.439733752,-1.810983595,0.003204861,0.962642271,0.034152868,,0.847830273,3.381785417,0.003482612,0.993223992,0.003293396,,1.114988727,-0.819045768,0.087127947,0.828982183,0.08388987,,1.466564057,2.733022828,0.961592978,0.035338992,0.003068031,,0.25354583,0.110580267,0.634399534,0.001474369,sodium,sodium-calcium,,0.023453855,0.72936481,0.224618511,0.022562824,chloride,chloride,sodium-chloride,sodium-calcium chloride,,3.276604009,acceptable
15,Nirmal Province,NT-20,18,7,129,3,27.5,96,125,18, ,0.898248416,0.576013166,5.611191588,0.076729679,0.57258266,2.708039492,2.048642979,0.599920011, ,0.449124208,0.288006583,5.611191588,0.076729679,0.28629133,2.708039492,2.048642979,0.299960005,sodium,chloride,sodium-chloride, ,0.791099408,-2.178435634,2.113794166,0.797072817,-1.449897472,-1.170850146,0.750433596,,2.784913369,1.203142839,0.011498746,0.004517794,0.98398346,,-0.098299054,-1.901573229,0.696170008,0.280918103,0.022911889,,-1.89470552,-3.767578325,0.013028735,0.98659176,0.000379505,,-0.97806636,-4.16451407,0.005388074,0.99421271,0.000399217,,2.535086178,-0.275006527,0.00741052,0.614427997,0.378161483,,0.722428165,2.565955376,0.011949576,0.974745346,0.013305078,,1.849092533,-1.44330411,0.019806467,0.959009456,0.021184077,,2.137397022,1.377028793,0.61858229,0.373555956,0.007861755,,0.180174372,0.072705993,0.741196982,0.005922653,sodium,sodium,,0.009791641,0.551938908,0.427681724,0.010587727,chloride,chloride-bicarbonate,sodium-chloride,sodium chloride-bicarbonate,,9.418402321,acceptable
16,Nirmal Province,NT-21,24,8,66,3,5,42,79,18, ,1.197664554,0.658300761,2.870842208,0.076729679,0.104105938,1.184767278,1.294742363,0.599920011, ,0.598832277,0.329150381,2.870842208,0.076729679,0.052052969,1.184767278,1.294742363,0.299960005,sodium,bicarbonate,sodium-bicarbonate, ,0.252663422,-1.913182565,1.708889573,2.096916316,-1.028123492,-1.116888854,0.345529002,,2.072104025,1.197321828,0.040565456,0.011654749,0.947779795,,0.04590528,-1.824046774,0.734989242,0.238745744,0.026265015,,-1.835383555,-2.954001712,0.044580203,0.953975659,0.001444138,,-0.932522562,-3.397157218,0.016119362,0.982380377,0.001500261,,3.496292475,0.06055303,0.001591175,0.463493334,0.534915491,,2.349582829,1.865673861,0.003083441,0.899689922,0.097226636,,0.914306588,-2.936796635,0.00282773,0.913362975,0.083809294,,1.378712237,0.598010313,0.443040409,0.515771358,0.041188232,,0.205033725,0.066629964,0.721033958,0.007302354,sodium,sodium,,0.001875587,0.451555916,0.491012456,0.055556041,bicarbonate,bicarbonate-chloride,sodium-bicarbonate,sodium bicarbonate-chloride,,20.28279515,imbalance too high
17,Nirmal Province,NT-22,20,24,110,3,37.5,120,103,21, ,0.998053795,1.974902283,4.784737013,0.076729679,0.780794537,3.385049365,1.688081815,0.699906679, ,0.499026898,0.987451142,4.784737013,0.076729679,0.390397268,3.385049365,1.688081815,0.34995334,sodium,chloride,sodium-chloride, ,-0.232039702,-1.810099025,2.322798737,0.69592246,-1.464036452,-0.768260825,0.805287487,,2.234392671,-0.130451413,0.014527441,0.051909419,0.933563141,,-1.417871727,-2.149443607,0.205331321,0.787245855,0.007422824,,-1.888941377,-3.564243567,0.017931592,0.981541182,0.000527226,,-2.210772664,-3.412231061,0.062916516,0.936565669,0.000517814,,2.103553009,-0.676122204,0.012808194,0.764397,0.222794806,,0.541845447,2.495047553,0.016674907,0.969558807,0.013766286,,1.473906654,-0.97442385,0.055359937,0.89988906,0.044751003,,1.729637195,1.615049108,0.767012314,0.222631225,0.010356461,,0.059447588,0.225517947,0.712917498,0.002116966,sodium,sodium,,0.02121076,0.62524203,0.336328773,0.017218437,chloride,chloride-bicarbonate,sodium-chloride,sodium chloride-bicarbonate,,8.900247878,acceptable
18,Nirmal Province,NT-23,68,16,120,7,20,287,67,9, ,3.393382903,1.316601522,5.219713105,0.179035917,0.416423753,8.095909732,1.098072637,0.299960005, ,1.696691452,0.658300761,5.219713105,0.179035917,0.208211876,8.095909732,1.098072637,0.149980003,sodium,chloride,sodium-chloride, ,0.263258799,-1.807277009,1.56533427,1.414364512,-2.246193532,-0.248391063,1.742418741,,1.811972069,1.494365841,0.073911702,0.01091466,0.915173638,,0.40632919,-1.829571011,0.834163582,0.14043597,0.025400449,,-1.884179536,-2.605911166,0.079144976,0.918524413,0.002330611,,-0.679274712,-3.226995737,0.015685147,0.981880296,0.002434557,,2.790716258,-1.943282576,0.001608758,0.971383278,0.027007964,,0.712253903,4.034922492,0.001767011,0.997284654,0.000948335,,1.628278839,-0.843816073,0.062159816,0.903248651,0.034591533,,2.018027201,3.151712744,0.970828643,0.028256611,0.000914747,,0.246805065,0.041758944,0.703894587,0.007541404,sodium,sodium,,0.016383896,0.734874144,0.239628306,0.009113654,chloride,chloride,sodium-chloride,sodium chloride,,0.990890327,excellent
19,Nirmal Province,NT-24,36,29,312,4,50,467,116,24, ,1.796496831,2.386340259,13.57125407,0.102306238,1.041059382,13.17348378,1.901140684,0.799893348, ,0.898248416,1.19317013,13.57125407,0.102306238,0.520529691,13.17348378,1.901140684,0.399946674,sodium,chloride,sodium-chloride, ,0.079486516,-2.351853629,2.535884882,0.909008605,-2.322105749,-0.38635381,1.172524312,,2.885855064,0.456125275,0.006389271,0.010411712,0.983199017,,-1.044382733,-2.339253464,0.361454905,0.630649182,0.007895913,,-2.140380284,-4.242427653,0.007672863,0.992186434,0.000140704,,-1.979248096,-4.309576129,0.013188583,0.986668788,0.000142629,,2.57766407,-1.881914545,0.00240486,0.967484042,0.030111097,,0.711854804,3.759243641,0.002544725,0.995895752,0.001559524,,1.452056419,-0.767003722,0.078328457,0.874212025,0.047459518,,1.797759108,2.992132969,0.96799674,0.030536012,0.001467248,,0.09387926,0.163562369,0.74051356,0.002044811,sodium,sodium,,0.02081951,0.732844133,0.233714784,0.012621573,chloride,chloride,sodium-chloride,sodium chloride,,2.70568531,acceptable
20,Nirmal Province,NT-25,28,4,139,4,51,89,120,30, ,1.397275313,0.329150381,6.04616768,0.102306238,1.06188057,2.510578279,1.96669726,0.999866684, ,0.698637657,0.16457519,6.04616768,0.102306238,0.530940285,2.510578279,1.96669726,0.499933342,sodium,chloride,sodium-chloride, ,1.507776696,-2.096035663,1.983173594,0.336494689,-1.21712415,-0.972966651,0.396669472,,2.571613611,2.19806998,0.02859477,0.001630006,0.969775224,,0.974156606,-1.989472389,0.932216078,0.051069986,0.016713936,,-2.186783506,-3.392999237,0.031087165,0.968394302,0.000518534,,-0.221377697,-4.304040855,0.001875636,0.997556028,0.000568336,,1.868590193,-0.25011308,0.021869685,0.595629999,0.382500316,,0.458703666,2.007624406,0.034344103,0.934867347,0.03078855,,1.463577784,-1.004457403,0.05305085,0.901543059,0.045406091,,1.668148345,1.121908348,0.604671699,0.37675502,0.01857328,,0.247974503,0.013643907,0.733931388,0.004450202,sodium,sodium,,0.027316159,0.533792261,0.415199599,0.02369198,chloride,chloride-bicarbonate,sodium-chloride,sodium chloride-bicarbonate,,9.267961779,acceptable
21,Nirmal Province,NT-26,38,7,61,4,15,85,85,15, ,1.896302211,0.576013166,2.653354162,0.102306238,0.312317815,2.3977433,1.393077226,0.499933342, ,0.948151105,0.288006583,2.653354162,0.102306238,0.156158907,2.3977433,1.393077226,0.249966671,sodium,chloride,sodium-chloride, ,0.664867053,-1.555729449,1.699879738,1.276976265,-1.454432892,-0.91142002,0.806522797,,1.558066849,1.686718294,0.123237513,0.011376531,0.865385955,,0.643049876,-2.008588464,0.893914092,0.088326543,0.017759364,,-2.127019214,-2.405706556,0.130526067,0.867053916,0.002420017,,-0.625159806,-3.171962764,0.01603025,0.981184711,0.002785039,,2.775347375,-0.539075799,0.004591389,0.722681921,0.27272669,,1.174914137,2.579389639,0.006378151,0.977351272,0.016270577,,1.441902286,-1.699143184,0.016861015,0.940907665,0.04223132,,1.793694752,1.483775173,0.716447794,0.272483258,0.011068948,,0.286919418,0.028933331,0.678406146,0.005741105,sodium,sodium-calcium,,0.006957639,0.604120246,0.371529403,0.017392711,chloride,chloride-bicarbonate,sodium-chloride,sodium-calcium chloride-bicarbonate,,6.356434517,acceptable
